"distance","MunicipalPcode.A","MunicipalPcode.B"
0,"MNL","MNL"
307094.008342032,"MNL","CHO"
294745.01894205,"MNL","IND"
263566.18761134,"MNL","STO"
317471.214288196,"MNL","TZA"
308781.306219045,"MNL","MNU"
280692.405227801,"MNL","VIL"
282486.100279334,"MNL","SIL"
336379.960427142,"MNL","NAN"
330625.445530023,"MNL","STF"
315418.230144606,"MNL","NAI"
362210.749754211,"MNL","GTR"
314055.425258268,"MNL","NOV"
326113.549360103,"MNL","MIC"
350035.172791393,"MNL","DAS"
330280.283114332,"MNL","TAC"
360434.808723737,"MNL","MRA"
323963.857202255,"MNL","TEN"
355189.389872811,"MNL","MAU"
353802.052424868,"MNL","PLW"
334647.614501246,"MNL","PIL"
342336.083779313,"MNL","GUA"
347582.316021842,"MNL","KWT"
347532.194812471,"MNL","AMA"
334503.188099023,"MNL","TAR"
335764.830937059,"MNL","MBC"
322439.194958847,"MNL","MTN"
352505.447859741,"MNL","PLL"
363440.687346624,"MNL","MNI"
362697.040461977,"MNL","SUT"
301029.597964467,"MNL","CAR"
318727.445251912,"MNL","MTP"
412229.724019286,"MNL","BOO"
397854.572277411,"MNL","CGI"
382305.177356192,"MNL","ODI"
299823.910086051,"MNL","IMU"
267359.553132843,"MNL","KLR"
287254.518602678,"MNL","APN"
280029.262745479,"MNL","TAT"
387106.679171083,"MNL","BAC"
374963.748511152,"MNL","RSO"
23227.6472612018,"MNL","STT"
11215.0769683394,"MNL","CLT"
7281.11301599508,"MNL","SJ2"
14096.8614814653,"MNL","TAA"
10963.0280708435,"MNL","STS"
8447.91490308189,"MNL","BLY"
8292.14429312112,"MNL","CLG"
21463.2795359225,"MNL","LBA"
11020.0282649365,"MNL","PGC"
163777.508119467,"MNL","GUM"
78963.9990284505,"MNL","LAU"
30672.4295755284,"MNL","ALM"
34795.2194838359,"MNL","MLV"
29563.5194664757,"MNL","NUG"
37040.3141385123,"MNL","AGO"
70107.7746193719,"MNL","STA"
43930.7294215892,"MNL","TNA"
70015.9491516107,"MNL","CPC"
15327.8337588004,"MNL","BTG"
23681.2303701892,"MNL","PAR"
30698.6518311483,"MNL","CRA"
55764.9751016359,"MNL","QPT"
45949.1517783575,"MNL","LBO"
68789.5797407917,"MNL","ALI"
82150.2584370445,"MNL","IBN"
26922.2878210661,"MNL","BAU"
27934.4544831199,"MNL","LEM"
15788.2642907821,"MNL","LIP"
23288.9771905518,"MNL","SAY"
32976.4631594321,"MNL","MCB"
22539.1408793462,"MNL","APA"
38926.0821323636,"MNL","CUE"
34584.3855356331,"MNL","NHV"
7427.91238360461,"MNL","TUY"
11487.4907363084,"MNL","AQE"
7174.89435519594,"MNL","MTK"
139551.379013732,"MNL","PCA"
151041.989011923,"MNL","TAB"
136240.11745072,"MNL","RXS"
155906.43812162,"MNL","BAT"
145138.801222079,"MNL","BRP"
123826.881690612,"MNL","CUG"
131315.675204366,"MNL","BOP"
113885.325014384,"MNL","SLU"
103718.586506476,"MNL","NAP"
103964.006987546,"MNL","GHG"
148540.005966643,"MNL","TAY"
143220.75809254,"MNL","LZB"
117183.448038637,"MNL","BRT"
130421.058243168,"MNL","TUG"
130809.197225196,"MNL","LOP"
141722.462595041,"MNL","RZP"
140289.318229497,"MNL","NAR"
162746.745309736,"MNL","BTS"
158284.649432948,"MNL","SFS"
226112.232138396,"MNL","SIA"
305362.894877604,"MNL","STR"
160581.188624412,"MNL","BLT"
187719.097818981,"MNL","RTB"
181636.763241577,"MNL","KAT"
205329.630773439,"MNL","ORI"
164461.99582264,"MNL","MAB"
225729.728374898,"MNL","KIP"
205628.838894496,"MNL","CGY"
194809.19021426,"MNL","POL"
239224.630566443,"MNL","ALC"
224715.137152988,"MNL","FAM"
217631.987567598,"MNL","EUQ"
186362.627613543,"MNL","ALE"
187734.818607716,"MNL","CSB"
239931.631000309,"MNL","AHE"
202031.733759636,"MNL","CFA"
236457.971280582,"MNL","CLB"
173030.468149369,"MNL","BNA"
186007.869111152,"MNL","MIO"
155345.123715215,"MNL","BUS"
