"datestamp","pop.group","displ.num","arrive.to_mun.pcode","arrive.to_mun.name","arrive.to_pro.pcode","arrive.to_pro.name","depart.from_mun.pcode","depart.from_mun.name","depart.from_pro.pcode","depart.from_pro.name","pull.ImproveEconomy","pull.ImproveSecurity","push.WorseEconomy","push.WorseSecurity","pull.ProtectAssets","push.SocialCulturIssues","push.ForcedReturn","push.LackServices","push.Evacuation","push.Other","pull.AvailServices","pull.AccHumanitarian","pull.SocialCulturIssues","pull.InTransit","pull.NoOption","pull.Other"
2017-01-01,"idp",189.75,"MNL","Manila","NCR","Manila","MNL","Manila","NCR","Manila",1,1.5,1,1.5,NA,NA,NA,0,0,0,0,0,0,0,0,0
2017-01-01,"return",330,"MNL","Manila","NCR","Manila","STT","Santo Tomas","BTG","Batangas",1,1,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"idp",4325.75,"CHO","Cahalo","CAV","Cavite","CHO","Cahalo","CAV","Cavite",0,0,0,0,NA,NA,NA,1,0,2,2,0.5,0,0,0,0
2017-01-01,"idp",387.75,"CHO","Cahalo","CAV","Cavite","TAR","Tarlac","CAV","Cavite",0,1,2,0,NA,NA,NA,0,0,1,0,0,2,0,0,0
2017-01-01,"idp",137.5,"CHO","Cahalo","CAV","Cavite","KLM","Kalamansig","LAN","Lanao",1,2,1,2,NA,NA,NA,0,0,0,0,0,0,0,0,0
2017-01-01,"idp",82.5,"CHO","Cahalo","CAV","Cavite","DUL","Dulag","LAN","Lanao",1,2,1,2,NA,NA,NA,0,0,0,0,0,0,0,0,0
2017-01-01,"return",55,"CHO","Cahalo","CAV","Cavite","abroad","abroad","abroad","abroad",0,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",24205.5,"CHO","Cahalo","CAV","Cavite","CHO","Cahalo","CAV","Cavite",1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",19.25,"CHO","Cahalo","CAV","Cavite",NA,NA,NA,NA,0,0,0,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",591.25,"CHO","Cahalo","CAV","Cavite",NA,NA,NA,NA,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"idp",82.5,"IND","Indang","CAV","Cavite","IBA","Iba","LAN","Lanao",2,0,2,0,NA,NA,NA,1,0,0,1,0,0,0,0,0
2017-01-01,"idp",137.5,"IND","Indang","CAV","Cavite","KLM","Kalamansig","LAN","Lanao",0,2,1,2,NA,NA,NA,0,0,0,0,0,1,0,0,0
2017-01-01,"idp",110,"IND","Indang","CAV","Cavite","PGB","Pagbilao","LAN","Lanao",0,2,0,2,NA,NA,NA,1,0,0,1,0,0,0,0,0
2017-01-01,"idp",68.75,"IND","Indang","CAV","Cavite","TGL","Taguilon","LAN","Lanao",0,0,2,0,NA,NA,NA,0,0,1,1,2,0,0,0,0
2017-01-01,"return",41.25,"IND","Indang","CAV","Cavite","TAC","Tacloban","CAV","Cavite",0,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"idp",0,"STO","Santo Tomas","CAV","Cavite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",0,"STO","Santo Tomas","CAV","Cavite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"idp",0,"TZA","Tanza","CAV","Cavite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",27.5,"TZA","Tanza","CAV","Cavite","abroad","abroad","abroad","abroad",0,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",302.5,"TZA","Tanza","CAV","Cavite","CHO","Cahalo","CAV","Cavite",0.5,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"return",1086.25,"TZA","Tanza","CAV","Cavite","KOL","Kolambugan","LAN","Lanao",1,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"idp",110,"MNU","Mendez-Nunez","CAV","Cavite","MNU","Mendez-Nunez","CAV","Cavite",0,2,1,2,NA,NA,NA,1,0,0,0,1,1,0,0,0
2017-01-01,"idp",192.5,"MNU","Mendez-Nunez","CAV","Cavite","KOL","Kolambugan","LAN","Lanao",0,1,1,1,NA,NA,NA,1,0,0,1,0.5,0.5,0,0,0
2017-01-01,"idp",165,"MNU","Mendez-Nunez","CAV","Cavite","MIN","Minalin","LAN","Lanao",1,2,1,1,NA,NA,NA,2,0,0,0,0,1,0,0,0
2017-01-01,"idp",82.5,"MNU","Mendez-Nunez","CAV","Cavite","TAL","Talibon","BOH","Bohol",0,2,1,2,NA,NA,NA,0,0,0,0,0,1,0,0,0
2017-01-01,"return",27.5,"MNU","Mendez-Nunez","CAV","Cavite","abroad","abroad","abroad","abroad",1,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,"idp",453.75,"VIL","Villasis","CAV","Cavite","VIL","Villasis","CAV","Cavite",0,1,2,1,NA,NA,NA,0,0,0,0,2,0,0,0,0
2017-01-01,"idp",275,"VIL","Villasis","CAV","Cavite","ARI","Aringay","LAN","Lanao",1,0,1,2,NA,NA,NA,0,0,0,0,0,2,0,0,0
